code,name,2011,2010,2009,2008,2007,2006,2005
000768,中航飞机,0.6629,0.0,0.4589,0.3049,0.0,0.0,0.0
000776,广发证券,5.6818,0.0,0.0,0.0,0.0,0.0,0.0
000777,中核科技,0.0,0.722,0.4908,0.0,0.2087,0.0,0.0
000778,新兴铸管,0.7103,0.0,3.369,1.2285,1.5998,0.0,14.6413
000779,三毛派神,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000780,*ST平能,0.4522,0.0,0.0,0.0,0.0,0.0,0.0
000782,美达股份,0.0,0.0,1.2208,0.7414,0.0,1.5823,0.0
000783,长江证券,3.3297,0.5364,3.4698,0.0,0.0,0.0,0.0
000785,武汉中商,0.8658,0.0,0.0,0.0,0.0,0.0,0.0
000786,北新建材,0.8075,0.4954,0.3196,0.665,0.6206,0.956,2.4615
000788,北大医药,0.7037,0.0,0.0,0.0,0.0,0.0,0.0
000789,万年青,0.0,0.0,0.0,0.0,0.0,0.0,2.7682
000790,泰合健康,0.1535,0.2219,0.0,0.5429,0.0,1.8939,1.8587
000791,甘肃电投,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000792,盐湖股份,0.0,4.5217,2.1938,1.0115,1.3805,1.771,1.1416
000793,华闻传媒,0.7042,0.3125,0.4376,0.0,0.0,0.0,0.4399
000795,英洛华,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000796,凯撒旅游,0.0,0.0,0.0,0.0,0.0,0.0,0.6391
000797,中国武夷,0.0,0.4178,0.858,0.419,0.0,0.0,0.0
000798,中水渔业,0.297,0.0,0.0,0.0,0.138,2.0401,1.5198
000799,酒鬼酒,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000800,一汽轿车,2.8754,1.8627,1.1955,0.6592,1.6863,0.0,3.5211
000801,四川九洲,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000802,北京文化,0.0,0.0,0.1761,0.0,0.0,0.0,0.0
000803,*ST金宇,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000806,银河生物,0.0,0.0,0.0,0.0,0.0,0.0,0.933
000807,云铝股份,0.2322,0.6622,4.7323,0.0,1.7846,5.4407,5.8651
000809,*ST新城,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000810,创维数字,0.3482,0.0,0.0,0.0,0.0,0.0,0.0
000811,冰轮环境,0.6561,0.7328,1.7734,1.1439,0.0,4.9801,2.2831
000812,陕西金叶,0.0,0.0,0.0,0.0,0.0,0.0,2.7174
000813,德展健康,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000815,美利云,0.674,0.0,0.0,0.0,0.0,0.4226,0.0
000816,智慧农业,0.1902,0.1669,0.2011,0.2821,0.0,0.0,0.0
000818,方大化工,0.0,0.0,0.0,0.0,0.528,1.8797,0.0
000819,岳阳兴长,1.0917,1.1312,0.0,0.0,0.4038,3.3003,1.443
000820,神雾节能,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000821,京山轻机,0.0,0.0,0.7634,1.912,1.0571,0.0,3.4843
000822,山东海化,0.0,0.0,1.5908,0.8117,0.6177,1.4878,1.1774
000823,超声电子,0.6859,0.698,1.6058,0.0,0.8448,2.4229,0.0
000825,太钢不锈,1.626,1.4388,2.9763,0.9603,0.0,10.5263,0.0
000826,启迪桑德,0.2006,0.0,0.2058,0.0985,0.0,0.0,0.0
000828,东莞控股,2.4219,1.6861,2.7574,1.2632,1.3389,0.0,3.0917
000829,天音控股,0.0,0.0,0.0,0.0,0.2597,0.2725,0.3849
000830,鲁西化工,0.0,1.7301,2.1142,0.0,1.2063,1.8868,1.7056
000831,五矿稀土,0.0,0.0,0.1739,0.0,0.0,0.6424,3.3003
000833,贵糖股份,0.956,0.0,1.328,0.0,0.8442,1.0787,0.0
000835,长城动漫,0.0,0.3663,0.3664,0.1265,0.0,0.0,0.0
000836,鑫茂科技,0.0,0.3225,0.0,0.0,0.0,0.0,0.0
000837,秦川机床,1.0736,0.0,0.0,0.1175,0.1423,0.3976,0.6528
000838,财信发展,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000839,中信国安,0.8598,0.6909,0.4016,0.324,0.3065,0.885,1.1249
000848,承德露露,1.1553,1.0938,2.5657,0.4246,0.0,2.588,4.415
000850,华茂股份,0.7089,0.6112,1.4245,0.9653,0.2408,0.0,0.4741
000851,高鸿股份,0.0,0.0,0.0,0.0,0.0,0.0,0.0
